ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8;Year;Month
110;2001-07-01;89.9;1.0;10.6;18997;15.1;10.5;190801;3625;2001;07
111;2001-08-01;90.8;1.0;10.4;18158;-4.4;11.6;192139;3489;2001;08
112;2001-09-01;91.6;0.9;10.0;15343;-15.5;0.1;191693;2941;2001;09
114;2001-10-01;91.1;-0.5;8.7;17835;16.2;12.9;191792;3421;2001;10
115;2001-11-01;91.9;0.8;9.1;17309;-2.9;14.5;193508;3349;2001;11
116;2001-12-01;91.6;-0.3;8.5;22175;28.1;-3.2;191854;4254;2001;12
119;2002-01-01;92.6;1.1;9.0;11891;-46.4;15.0;193092;2296;2002;01
120;2002-02-01;93.2;0.6;7.4;14165;19.1;14.0;193162;2736;2002;02
121;2002-03-01;93.8;0.7;8.0;18321;29.3;22.5;197257;3614;2002;03
123;2002-04-01;94.0;0.2;6.8;14544;-20.6;-0.6;197440;2872;2002;04
124;2002-05-01;94.7;0.8;7.2;17569;20.8;3.1;199157;3499;2002;05
125;2002-06-01;94.8;0.1;6.5;15968;-9.1;-3.3;199384;3184;2002;06
127;2002-07-01;95.6;0.8;6.3;19813;24.1;4.3;201666;3996;2002;07
128;2002-08-01;96.4;0.9;6.2;17150;-13.4;-5.6;204573;3508;2002;08
129;2002-09-01;96.4;0.0;5.2;15634;-8.8;1.9;204417;3196;2002;09
131;2002-10-01;96.4;0.0;5.7;16200;3.6;-9.2;201799;3269;2002;10
132;2002-11-01;96.2;-0.2;4.6;15815;-2.4;-8.6;200491;3171;2002;11
133;2002-12-01;95.5;-0.7;4.2;21316;34.8;-3.9;201155;4288;2002;12
136;2003-01-01;96.5;1.1;4.2;11832;-44.5;-0.5;201802;2388;2003;01
137;2003-02-01;97.0;0.4;4.1;13396;13.2;-5.4;200118;2681;2003;02
138;2003-03-01;97.1;0.1;3.5;14359;7.2;-21.6;199880;2870;2003;03
140;2003-04-01;97.7;0.6;3.9;15163;5.6;4.3;202536;3071;2003;04
141;2003-05-01;97.9;0.2;3.3;16675;10.0;-5.1;202497;3377;2003;05
142;2003-06-01;98.3;0.4;3.7;14440;-13.4;-9.6;204760;2957;2003;06
144;2003-07-01;98.7;0.4;3.2;17510;21.3;-11.6;204826;3587;2003;07
145;2003-08-01;98.8;0.1;2.5;16045;-8.4;-6.4;204982;3289;2003;08
146;2003-09-01;99.0;0.2;2.7;16810;4.8;7.5;205430;3453;2003;09
148;2003-10-01;99.5;0.6;3.3;17357;3.3;7.1;208042;3611;2003;10
149;2003-11-01;99.8;0.3;3.8;15168;-12.6;-4.1;205756;3121;2003;11
150;2003-12-01;100.2;0.4;5.0;24651;62.5;15.6;211410;5211;2003;12
153;2004-01-01;100.7;0.5;4.3;10329;-58.1;-12.7;204756;2115;2004;01
154;2004-02-01;101.2;0.5;4.4;13298;28.7;-0.7;209830;2790;2004;02
155;2004-03-01;101.0;-0.2;4.0;15624;17.5;8.8;210156;3283;2004;03
157;2004-04-01;101.8;0.8;4.3;16496;5.6;8.8;212873;3512;2004;04
