GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Bevolkingsdichtheid_57;AfstandTotHuisartsenpraktijk_209;AfstandTotKinderdagverblijf_214;AfstandTotBibliotheek_226;AfstandTotOpritHoofdverkeersweg_232;AfstandTotTreinstation_233
328.0;297;29.0;0.6;0.7;0.7;35.4;34.0
199.0;298;1297.0;0.8;0.6;2.7;1.3;3.3
281.0;299;394.0;1.0;0.8;1.3;1.4;1.8
;Voorne aan Zee;;;;;;
424.0;300;2306.0;0.7;0.5;1.4;1.4;1.9
361.0;301;203.0;1.5;1.0;3.2;1.0;2.5
438.0;302;530.0;1.1;0.7;2.8;1.1;2.5
207.0;303;162.0;1.5;0.9;3.6;1.4;6.4
420.0;304;787.0;0.8;0.7;1.7;2.3;7.2
295.0;305;765.0;1.1;0.7;1.6;1.5;15.6
319.0;306;1129.0;0.8;0.6;1.9;0.9;1.2
291.0;307;1313.0;1.0;0.6;1.5;1.2;6.8
663.0;308;530.0;1.2;0.7;1.9;1.1;4.0
413.0;309;334.0;1.1;1.0;8.0;0.8;11.1
275.0;310;483.0;0.9;0.7;1.9;1.4;2.7
402.0;311;914.0;0.7;0.6;1.5;1.4;1.5
352.0;312;241.0;1.5;0.8;3.0;1.4;4.8
325.0;313;258.0;1.4;0.9;2.6;1.8;12.0
262.0;314;177.0;1.6;1.0;2.2;1.2;9.3
326.0;315;71.0;2.2;1.3;2.4;1.1;11.9
262.0;316;2131.0;0.9;0.6;1.6;2.7;1.5
235.0;317;96.0;1.9;1.3;2.9;1.2;14.8
373.0;318;1392.0;0.9;0.6;1.1;1.0;10.4
259.0;319;119.0;2.0;1.0;2.5;1.7;5.4
430.0;320;281.0;1.1;1.1;1.2;1.5;29.3
338.0;321;260.0;1.3;1.0;1.6;1.3;2.7
318.0;322;626.0;1.3;0.9;2.3;1.5;2.5
484.0;323;515.0;1.3;1.0;2.8;2.1;6.3
357.0;324;503.0;0.7;0.8;1.2;1.7;10.6
253.0;325;211.0;1.6;1.0;2.7;1.2;2.2
292.0;326;241.0;1.0;0.7;2.4;1.4;11.2
355.0;327;597.0;1.1;0.7;1.8;1.5;3.1
325.0;328;109.0;2.0;1.2;2.2;2.5;9.7
349.0;329;425.0;1.1;0.7;1.6;1.8;2.5
395.0;330;380.0;1.0;0.8;1.1;0.6;5.3
312.0;331;2131.0;0.9;0.6;2.8;1.7;2.2
322.0;332;381.0;1.2;0.7;2.6;1.6;5.6
424.0;333;533.0;0.8;0.7;1.3;1.9;1.1
332.0;334;94.0;1.8;1.4;2.5;2.2;14.8
440.0;335;1361.0;1.0;0.6;2.3;2.0;3.8
265.0;336;482.0;1.4;0.9;1.9;1.5;4.3
290.0;337;3653.0;0.9;0.5;1.9;2.2;3.4
404.0;338;440.0;0.8;0.8;1.6;1.1;4.1
347.0;339;790.0;1.0;0.7;1.6;1.7;3.6
357.0;340;185.0;2.3;1.3;5.5;1.3;13.0
254.0;341;1181.0;0.8;0.7;1.7;1.0;2.7
262.0;342;279.0;1.0;0.8;1.1;1.0;11.4
256.0;343;2206.0;0.7;0.4;1.2;1.8;2.0
298.0;344;1181.0;1.0;0.5;1.8;2.0;3.0
